E4-n | Crotchet | 0
E4-n | Crotchet | 0
F4-n | Crotchet | 0
G4-n | Crotchet | 0

G4-n | Crotchet | 0
F4-n | Crotchet | 0
E4-n | Crotchet | 0
D4-n | Crotchet | 0

C4-n | Crotchet | 0
C4-n | Crotchet | 0
D4-n | Crotchet | 0
E4-n | Crotchet | 0

E4-n | Crotchet | 1
D4-n | Quaver | 0
D4-n | Minim | 0

E4-n | Crotchet | 0
E4-n | Crotchet | 0
F4-n | Crotchet | 0
G4-n | Crotchet | 0

G4-n | Crotchet | 0
F4-n | Crotchet | 0
E4-n | Crotchet | 0
D4-n | Crotchet | 0

C4-n | Crotchet | 0
C4-n | Crotchet | 0
D4-n | Crotchet | 0
E4-n | Crotchet | 0

D4-n | Crotchet | 1
C4-n | Quaver | 0
C4-n | Minim | 0

D4-n | Minim | 0
E4-n | Crotchet | 0
C4-n | Crotchet | 0

D4-n | Crotchet | 0
E4-n | Quaver | 0
F4-n | Quaver | 0
E4-n | Crotchet | 0
C4-n | Crotchet | 0

D4-n | Crotchet | 0
E4-n | Quaver | 0
F4-n | Quaver | 0
E4-n | Crotchet | 0
D4-n | Crotchet | 0

C4-n | Crotchet | 0
D4-n | Crotchet | 0
G4-n | Minim | 0

E4-n | Crotchet | 0
E4-n | Crotchet | 0
F4-n | Crotchet | 0
G4-n | Crotchet | 0

G4-n | Crotchet | 0
F4-n | Crotchet | 0
E4-n | Crotchet | 0
D4-n | Crotchet | 0

C4-n | Crotchet | 0
C4-n | Crotchet | 0
D4-n | Crotchet | 0
E4-n | Crotchet | 0

D4-n | Crotchet | 1
C4-n | Quaver | 0
C4-n | Minim | 0
